episode,step,epsilon,episode_loss,max_episode_reward,episode_moving_average_30
1,23,0.999977575000001,0.0,0.0,0.0
2,46,0.9999551500000019,0.0,0.0,0.0
3,67,0.9999346750000028,0.0,0.0,0.0
4,135,0.9998683750000056,0.0,1.0,0.03333333333333333
5,204,0.9998011000000084,0.0,1.0,0.06666666666666667
6,227,0.9997786750000094,0.0,1.0,0.06666666666666667
7,250,0.9997562500000103,0.0,1.0,0.06666666666666667
8,273,0.9997338250000113,0.0,1.0,0.06666666666666667
9,296,0.9997114000000122,0.0,1.0,0.06666666666666667
10,319,0.9996889750000132,0.0,1.0,0.06666666666666667
11,389,0.9996207250000161,0.0,1.0,0.1
12,440,0.9995710000000182,0.0,1.0,0.13333333333333333
13,463,0.9995485750000191,0.0,1.0,0.13333333333333333
14,486,0.9995261500000201,0.0,1.0,0.13333333333333333
15,509,0.999503725000021,0.0,1.0,0.13333333333333333
16,532,0.999481300000022,0.0,1.0,0.13333333333333333
17,553,0.9994608250000229,0.0,1.0,0.13333333333333333
18,576,0.9994384000000238,0.0,1.0,0.13333333333333333
19,599,0.9994159750000248,0.0,1.0,0.13333333333333333
20,622,0.9993935500000257,0.0,1.0,0.13333333333333333
21,691,0.9993262750000286,0.0,1.0,0.16666666666666666
22,763,0.9992560750000316,0.0,1.0,0.2
23,834,0.9991868500000345,0.0,1.0,0.23333333333333334
24,906,0.9991166500000375,0.0,1.0,0.26666666666666666
25,929,0.9990942250000384,0.0,1.0,0.26666666666666666
26,952,0.9990718000000394,0.0,1.0,0.26666666666666666
27,973,0.9990513250000402,0.0,1.0,0.26666666666666666
28,996,0.9990289000000412,0.0,1.0,0.26666666666666666
29,1017,0.999008425000042,0.0,1.0,0.26666666666666666
30,1040,0.998986000000043,0.0,1.0,0.26666666666666666
31,1063,0.998963575000044,0.0,1.0,0.26666666666666666
32,1086,0.9989411500000449,0.0,1.0,0.26666666666666666
33,1107,0.9989206750000458,0.0,1.0,0.26666666666666666
34,1128,0.9989002000000466,0.0,1.0,0.23333333333333334
35,1196,0.9988339000000495,0.0,1.0,0.23333333333333334
36,1219,0.9988114750000504,0.0,1.0,0.23333333333333334
37,1240,0.9987910000000513,0.0,1.0,0.23333333333333334
38,1263,0.9987685750000522,0.0,1.0,0.23333333333333334
39,1284,0.9987481000000531,0.0,1.0,0.23333333333333334
40,1307,0.998725675000054,0.0,1.0,0.23333333333333334
41,1330,0.998703250000055,0.0,1.0,0.2
42,1353,0.998680825000056,0.0,1.0,0.16666666666666666
43,1376,0.9986584000000569,0.0,1.0,0.16666666666666666
44,1399,0.9986359750000579,0.0,1.0,0.16666666666666666
45,1495,0.9985423750000618,0.0,2.0,0.23333333333333334
46,1518,0.9985199500000628,0.0,2.0,0.23333333333333334
47,1541,0.9984975250000637,0.0,2.0,0.23333333333333334
48,1564,0.9984751000000647,0.0,2.0,0.23333333333333334
49,1587,0.9984526750000656,0.0,2.0,0.23333333333333334
50,1608,0.9984322000000665,0.0,2.0,0.23333333333333334
51,1659,0.9983824750000686,0.0,2.0,0.23333333333333334
52,1730,0.9983132500000715,0.0,2.0,0.23333333333333334
53,1753,0.9982908250000725,0.0,2.0,0.2
54,1776,0.9982684000000734,0.0,2.0,0.16666666666666666
55,1799,0.9982459750000744,0.0,2.0,0.16666666666666666
56,1822,0.9982235500000753,0.0,2.0,0.16666666666666666
57,1937,0.9981114250000801,0.0,3.0,0.26666666666666666
58,1960,0.998089000000081,0.0,3.0,0.26666666666666666
59,1981,0.9980685250000819,0.0,3.0,0.26666666666666666
60,2002,0.9980480500000828,0.0,3.0,0.26666666666666666
61,2025,0.9980256250000837,0.0,3.0,0.26666666666666666
62,2048,0.9980032000000847,0.0,3.0,0.26666666666666666
63,2071,0.9979807750000856,0.0,3.0,0.26666666666666666
64,2094,0.9979583500000866,0.0,3.0,0.26666666666666666
65,2117,0.9979359250000875,0.0,3.0,0.23333333333333334
66,2140,0.9979135000000885,0.0,3.0,0.23333333333333334
67,2161,0.9978930250000894,0.0,3.0,0.23333333333333334
68,2259,0.9977974750000934,0.0,3.0,0.3
69,2333,0.9977253250000965,0.0,3.0,0.3333333333333333
70,2503,0.9975595750001035,0.0,3.0,0.43333333333333335
71,2526,0.9975371500001045,0.0,3.0,0.43333333333333335
72,2577,0.9974874250001066,0.0,3.0,0.4666666666666667
73,2600,0.9974650000001075,0.0,3.0,0.4666666666666667
74,2621,0.9974445250001084,0.0,3.0,0.4666666666666667
75,2644,0.9974221000001093,0.0,3.0,0.4
76,2667,0.9973996750001103,0.0,3.0,0.4
77,2690,0.9973772500001112,0.0,3.0,0.4
78,2713,0.9973548250001122,0.0,3.0,0.4
79,2736,0.9973324000001131,0.0,3.0,0.4
80,2759,0.9973099750001141,0.0,3.0,0.4
81,2782,0.997287550000115,0.0,3.0,0.36666666666666664
82,2805,0.997265125000116,0.0,3.0,0.3333333333333333
83,2903,0.99716957500012,0.0,3.0,0.4
84,2974,0.997100350000123,0.0,3.0,0.43333333333333335
85,2995,0.9970798750001238,0.0,3.0,0.43333333333333335
86,3018,0.9970574500001248,0.0,3.0,0.43333333333333335
87,3041,0.9970350250001258,0.0,3.0,0.3333333333333333
88,3064,0.9970126000001267,0.0,3.0,0.3333333333333333
89,3087,0.9969901750001277,0.0,3.0,0.3333333333333333
90,3110,0.9969677500001286,0.0,3.0,0.3333333333333333
91,3133,0.9969453250001296,0.0,3.0,0.3333333333333333
92,3156,0.9969229000001305,0.0,3.0,0.3333333333333333
93,3179,0.9969004750001315,0.0,3.0,0.3333333333333333
94,3202,0.9968780500001324,0.0,3.0,0.3333333333333333
95,3298,0.9967844500001364,0.0,3.0,0.4
96,3321,0.9967620250001373,0.0,3.0,0.4
97,3344,0.9967396000001383,0.0,3.0,0.4
98,3367,0.9967171750001392,0.0,3.0,0.3333333333333333
99,3388,0.9966967000001401,0.0,3.0,0.3
100,3409,0.996676225000141,0.0,3.0,0.2
101,3432,0.9966538000001419,0.0,3.0,0.2
102,3455,0.9966313750001429,0.0,3.0,0.16666666666666666
103,3476,0.9966109000001437,0.0,3.0,0.16666666666666666
104,3499,0.9965884750001447,0.0,3.0,0.16666666666666666
105,3520,0.9965680000001456,0.0,3.0,0.16666666666666666
106,3543,0.9965455750001465,0.0,3.0,0.16666666666666666
107,3566,0.9965231500001475,0.0,3.0,0.16666666666666666
108,3636,0.9964549000001504,0.0,3.0,0.2
109,3659,0.9964324750001513,0.0,3.0,0.2
110,3682,0.9964100500001523,0.0,3.0,0.2
111,3733,0.9963603250001544,0.0,3.0,0.23333333333333334
112,3801,0.9962940250001572,0.0,3.0,0.26666666666666666
113,3824,0.9962716000001581,0.0,3.0,0.2
114,3847,0.9962491750001591,0.0,3.0,0.16666666666666666
115,3868,0.99622870000016,0.0,3.0,0.16666666666666666
116,3891,0.9962062750001609,0.0,3.0,0.16666666666666666
117,3940,0.9961585000001629,0.0,3.0,0.2
118,3963,0.9961360750001639,0.0,3.0,0.2
119,3984,0.9961156000001647,0.0,3.0,0.2
120,4082,0.9960200500001688,0.0,3.0,0.26666666666666666
121,4105,0.9959976250001698,0.0,3.0,0.26666666666666666
122,4254,0.9958523500001759,0.0,3.0,0.36666666666666664
123,4277,0.9958299250001769,0.0,3.0,0.36666666666666664
124,4298,0.9958094500001777,0.0,3.0,0.36666666666666664
125,4367,0.9957421750001806,0.0,3.0,0.3333333333333333
126,4390,0.9957197500001815,0.0,3.0,0.3333333333333333
127,4413,0.9956973250001825,0.0,3.0,0.3333333333333333
128,4436,0.9956749000001834,0.0,3.0,0.3333333333333333
129,4457,0.9956544250001843,0.0,3.0,0.3333333333333333
130,4480,0.9956320000001853,0.0,3.0,0.3333333333333333
131,4503,0.9956095750001862,0.0,3.0,0.3333333333333333
132,4526,0.9955871500001872,0.0,3.0,0.3333333333333333
133,4622,0.9954935500001911,0.0,3.0,0.4
134,4645,0.9954711250001921,0.0,3.0,0.4
135,4668,0.995448700000193,0.0,3.0,0.4
136,4691,0.995426275000194,0.0,3.0,0.4
137,4758,0.9953609500001968,0.0,3.0,0.43333333333333335
138,4781,0.9953385250001977,0.0,3.0,0.4
139,4804,0.9953161000001987,0.0,3.0,0.4
140,4920,0.9952030000002035,0.0,3.0,0.4666666666666667
141,4943,0.9951805750002044,0.0,3.0,0.43333333333333335
142,4966,0.9951581500002054,0.0,3.0,0.4
143,4987,0.9951376750002062,0.0,3.0,0.4
144,5008,0.9951172000002071,0.11849851062288508,3.0,0.4
145,5031,0.995094775000208,0.11179673364677001,3.0,0.4
146,5054,0.995072350000209,0.09717313901637681,3.0,0.4
147,5077,0.99504992500021,0.08638424286618829,3.0,0.36666666666666664
148,5149,0.9949797250002129,0.44290106851258315,3.0,0.4
149,5219,0.9949114750002158,0.3746007010922767,3.0,0.43333333333333335
150,5242,0.9948890500002168,0.10302756524470169,3.0,0.36666666666666664
151,5265,0.9948666250002177,0.13268555085232947,3.0,0.36666666666666664
152,5334,0.9947993500002206,0.3970477600960294,3.0,0.3
153,5384,0.9947506000002226,0.2784105474711396,3.0,0.3333333333333333
154,5405,0.9947301250002235,0.07933112187311053,3.0,0.3333333333333333
155,5477,0.9946599250002265,0.41730223144986667,3.0,0.3333333333333333
156,5500,0.9946375000002274,0.12845381486113183,3.0,0.3333333333333333
157,5571,0.9945682750002304,0.2824360655795317,3.0,0.36666666666666664
158,5592,0.9945478000002312,0.09908701703534462,3.0,0.36666666666666664
159,5615,0.9945253750002322,0.09846341737284092,3.0,0.36666666666666664
160,5636,0.9945049000002331,0.03505556270101806,3.0,0.36666666666666664
161,5659,0.994482475000234,0.08029874207568355,3.0,0.36666666666666664
162,5682,0.994460050000235,0.0833678427443374,3.0,0.36666666666666664
163,5705,0.9944376250002359,0.07653750666213455,3.0,0.3
164,5726,0.9944171500002368,0.050287895057408605,3.0,0.3
165,5749,0.9943947250002377,0.10634643464072724,3.0,0.3
166,5772,0.9943723000002387,0.20912092668004334,3.0,0.3
167,5841,0.9943050250002415,0.35281097756524105,3.0,0.3
168,5864,0.9942826000002425,0.1729319992591627,3.0,0.3
169,5887,0.9942601750002434,0.09467894001863897,3.0,0.3
170,5910,0.9942377500002444,0.054432525706943125,3.0,0.23333333333333334
171,5933,0.9942153250002453,0.06611398194218054,3.0,0.23333333333333334
172,5956,0.9941929000002463,0.163066778506618,3.0,0.23333333333333334
173,5979,0.9941704750002472,0.14264767221175134,3.0,0.23333333333333334
174,6002,0.9941480500002482,0.07809431047644466,3.0,0.23333333333333334
175,6025,0.9941256250002491,0.07758970216764283,3.0,0.23333333333333334
176,6048,0.9941032000002501,0.07413585057383898,3.0,0.23333333333333334
177,6071,0.994080775000251,0.08366616749481182,3.0,0.23333333333333334
178,6094,0.994058350000252,0.13794543204130605,3.0,0.2
179,6145,0.9940086250002541,0.3534481048991438,3.0,0.2
180,6168,0.9939862000002551,0.0656067474046722,3.0,0.2
181,6191,0.993963775000256,0.19863450634875335,3.0,0.2
182,6212,0.9939433000002569,0.1560294703231193,3.0,0.16666666666666666
183,6235,0.9939208750002578,0.08867714609368704,3.0,0.13333333333333333
184,6256,0.9939004000002587,0.05760642373934388,3.0,0.13333333333333333
185,6279,0.9938779750002597,0.10719422058900818,3.0,0.1
186,6302,0.9938555500002606,0.13948636289751448,3.0,0.1
187,6369,0.9937902250002634,0.19939405846525915,3.0,0.1
188,6392,0.9937678000002643,0.11003802651976002,3.0,0.1
189,6413,0.9937473250002652,0.11559350438619731,3.0,0.1
190,6434,0.9937268500002661,0.16050390573218465,3.0,0.1
191,6532,0.9936313000002701,0.42919707065448165,3.0,0.16666666666666666
192,6632,0.9935338000002742,0.48617971896351264,3.0,0.23333333333333334
193,6704,0.9934636000002772,0.44907271543343086,3.0,0.26666666666666666
194,6727,0.9934411750002782,0.09429541614372283,3.0,0.26666666666666666
195,6802,0.9933680500002813,0.4281904379313346,3.0,0.3
196,6825,0.9933456250002822,0.11975171748781577,3.0,0.3
197,6848,0.9933232000002832,0.13357676152372733,3.0,0.26666666666666666
198,6944,0.9932296000002871,0.5663383869105019,3.0,0.3333333333333333
199,6965,0.993209125000288,0.1287562781944871,3.0,0.3333333333333333
200,6986,0.9931886500002889,0.15085435652872548,3.0,0.3333333333333333
201,7009,0.9931662250002898,0.1623617933364585,3.0,0.3333333333333333
202,7030,0.9931457500002907,0.05558831294183619,3.0,0.3333333333333333
203,7053,0.9931233250002917,0.13215485657565296,3.0,0.3333333333333333
204,7102,0.9930755500002937,0.33853321912465617,3.0,0.36666666666666664
205,7200,0.9929800000002977,0.7282279203063808,3.0,0.43333333333333335
206,7223,0.9929575750002987,0.23530339502030984,3.0,0.43333333333333335
207,7244,0.9929371000002996,0.14112409040535567,3.0,0.43333333333333335
208,7265,0.9929166250003004,0.09322041801624437,3.0,0.43333333333333335
209,7334,0.9928493500003033,0.31560424632334616,3.0,0.43333333333333335
210,7357,0.9928269250003042,0.08142594865057617,3.0,0.43333333333333335
211,7476,0.9927109000003091,0.6182471163992886,3.0,0.5
212,7497,0.99269042500031,0.1375581858528676,3.0,0.5
213,7520,0.992668000000311,0.10070136829745024,3.0,0.5
214,7571,0.9926182750003131,0.2628458063409198,3.0,0.5333333333333333
215,7641,0.992550025000316,0.35847994593177646,3.0,0.5666666666666667
216,7743,0.9924505750003202,0.4443926168987673,3.0,0.6333333333333333
217,7766,0.9924281500003211,0.03467328650367563,3.0,0.6
218,7789,0.9924057250003221,0.17675064888589986,3.0,0.6
219,7812,0.992383300000323,0.1263860347098671,3.0,0.6
220,7835,0.992360875000324,0.16138336661970243,3.0,0.6
221,7858,0.992338450000325,0.11134979367488995,3.0,0.5333333333333333
222,7881,0.9923160250003259,0.08259491482749581,3.0,0.4666666666666667
223,7932,0.992266300000328,0.3579167626085109,3.0,0.4666666666666667
